Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent ()
4777,315.01,2.91,-19.56,8303.63,28033.0,62778.0
4778,296.88,2.81,21.96,-8470.43,27986.0,3821.0
4779,304.88,2.92,-20.4,8410.84,28183.0,63286.0
4780,285.74,2.82,21.66,-8589.68,28194.0,3890.0
4781,291.55,2.93,-21.29,8489.26,28363.0,62448.0
4782,273.34,2.82,21.16,-8640.55,28369.0,4039.0
4783,282.63,2.93,-22.05,8614.79,28532.0,61924.0
4784,265.58,2.82,21.03,-8735.25,28525.0,3801.0
4785,274.27,2.92,-22.65,8698.74,28682.0,63342.0
4786,259.18,2.81,20.84,-8774.02,28679.0,3882.0
4787,266.87,2.91,-23.03,8719.29,28856.0,62476.0
4788,252.79,2.8,20.57,-8770.44,28856.0,3666.0
4789,262.33,2.9,-23.28,8755.5,29041.0,63186.0
4790,250.62,2.79,20.5,-8756.92,29015.0,63844.0
4791,272.53,2.89,-23.29,8990.13,28864.0,61919.0
4792,270.11,2.77,21.66,-8805.69,28528.0,2326.0
4793,293.82,2.88,-22.37,9063.33,28417.0,61425.0
4794,295.45,2.77,22.95,-8807.09,28089.0,2757.0
4795,318.54,2.88,-21.09,9039.5,27991.0,61460.0
4796,320.49,2.78,24.11,-8789.66,27665.0,1969.0
4797,300.39,2.9,-19.84,8146.47,27770.0,62553.0
4798,297.65,2.8,20.9,-8002.82,27872.0,3571.0
4799,287.24,2.9,-19.12,7585.61,28182.0,62688.0
4800,266.43,2.81,18.81,-7810.61,28244.0,4134.0
4801,271.77,2.9,-20.24,7729.36,28544.0,63133.0
4802,254.42,2.8,18.4,-7874.12,28597.0,4546.0
4803,260.55,2.89,-20.97,7812.82,28893.0,63369.0
4804,248.8,2.79,18.1,-7838.2,28920.0,63348.0
4805,271.25,2.88,-21.09,8106.14,28723.0,62038.0
4806,267.85,2.77,19.44,-7963.06,28394.0,2255.0
4807,295.16,2.87,-20.38,8314.83,28230.0,61139.0
4808,296.98,2.77,21.2,-8074.63,27889.0,2494.0
4809,320.39,2.87,-19.18,8330.83,27733.0,1158.0
4810,308.28,2.78,22.48,-8381.16,27691.0,3372.0
4811,315.72,2.89,-19.43,8305.12,27820.0,62660.0
4812,295.5,2.79,22.1,-8515.3,27845.0,3880.0
4813,300.16,2.9,-20.48,8387.55,28064.0,63981.0
4814,277.48,2.8,21.46,-8636.32,28097.0,4504.0
4815,281.87,2.91,-21.72,8509.66,28327.0,63629.0
4816,263.3,2.8,20.82,-8663.84,28362.0,4517.0
4817,266.1,2.9,-22.49,8511.59,28609.0,62687.0
4818,252.34,2.79,20.06,-8561.96,28648.0,4747.0
4819,259.64,2.89,-22.75,8507.33,28906.0,63601.0
4820,247.86,2.78,19.79,-8515.39,28918.0,64136.0
4821,269.7,2.88,-22.79,8754.2,28774.0,61574.0
4822,264.61,2.76,20.98,-8628.05,28411.0,2604.0
4823,294.72,2.87,-22.16,9020.34,28288.0,61310.0
4824,294.15,2.76,22.95,-8810.17,27917.0,2608.0
4825,318.59,2.87,-21.11,9069.58,27790.0,61517.0
4826,316.16,2.77,24.24,-8907.14,27538.0,2302.0
4827,309.86,2.89,-20.29,8538.77,27676.0,62659.0
4828,293.18,2.79,22.4,-8669.55,27766.0,3534.0
4829,284.91,2.9,-20.95,8280.13,28127.0,62820.0
4830,262.27,2.79,20.45,-8523.42,28255.0,3761.0
4831,266.53,2.9,-22.16,8404.07,28541.0,62878.0
4832,248.5,2.79,19.86,-8542.95,28655.0,4396.0
4833,254.03,2.88,-22.86,8454.92,28939.0,62996.0
4834,255.28,2.77,19.42,-8201.31,28826.0,1987.0
4835,266.1,2.87,-21.59,8223.58,28726.0,61314.0
4836,262.34,2.76,19.53,-8082.93,28469.0,2335.0
4837,285.91,2.86,-20.89,8359.02,28406.0,61493.0
4838,280.03,2.75,20.91,-8267.76,28154.0,2502.0
4839,300.41,2.86,-20.43,8466.19,28103.0,61338.0
4840,298.26,2.75,21.9,-8304.89,27853.0,2193.0
4841,314.85,2.86,-19.62,8417.83,27814.0,61598.0
4842,314.75,2.77,22.47,-8223.68,27568.0,2467.0
4843,306.7,2.88,-18.65,7838.1,27666.0,64035.0
4844,293.24,2.79,20.54,-7920.79,27780.0,3699.0
4845,285.73,2.89,-19.07,7565.08,28101.0,62990.0
4846,261.6,2.79,18.76,-7856.86,28183.0,4260.0
4847,267.63,2.89,-20.53,7789.76,28497.0,62618.0
4848,248.92,2.78,18.42,-7958.66,28570.0,4352.0
4849,254.22,2.88,-21.37,7880.47,28879.0,63154.0
4850,256.4,2.77,18.03,-7623.14,28760.0,2515.0
4851,268.32,2.86,-20.08,7681.06,28655.0,61686.0
4852,267.3,2.76,18.32,-7500.61,28328.0,2230.0
4853,291.87,2.85,-19.18,7808.81,28189.0,61302.0
