CAN BUS Shield init ok!
Interrupt init ok!
EPOS enabled
Max Following Error set as 2000qc
Max Aceeleration set as 5000rpm/s
Max Profile Velocity set as 2000rpm
Min Position Limit defined as -300000qc
Min Position Limit defined as 300000qc
TPDO Configured!
State: Operational
-12.65
1000.00,8.90,11.02,-2203.67,88579,3577,0,9132
-5.32
1000.00,8.95,-0.00,2093.48,88960,63293,0,9182
-11.03
1000.00,8.95,10.47,-2093.48,89176,3801,0,9232
-7.32
1000.00,9.01,-0.00,1988.81,89527,63428,0,9282
-11.87
1000.00,9.01,9.94,-1988.81,89694,4404,0,9332
-7.06
1000.00,9.06,-0.00,1889.37,90044,63569,0,9383
-11.09
1000.00,9.06,9.45,-1889.37,90212,3870,0,9434
-6.70
1000.00,9.10,-0.00,1794.90,90567,63203,0,9484
-12.50
1000.00,9.10,8.97,-1794.90,90764,4088,0,9534
-9.53
1000.00,9.15,-0.00,1705.16,91037,64235,0,9585
-14.79
1000.00,9.15,8.53,-1705.16,91224,3469,0,9635
-10.00
1000.00,9.19,-0.00,1619.90,91487,63074,0,9686
-14.42
1000.00,9.19,8.10,-1619.90,91648,3337,0,9736
-9.28
1000.00,9.23,-0.00,1538.91,91912,63231,0,9787
-14.00
1000.00,9.23,7.69,-1538.91,92058,4340,0,9837
-9.20
1000.00,9.27,-0.00,1461.96,92317,64547,0,9887
-13.92
1000.00,9.27,7.31,-1461.96,92457,3999,0,9937
-6.70
1000.00,9.31,-0.00,1388.87,92701,64008,0,9988
-12.61
1000.00,9.31,6.94,-1388.87,92835,4027,0,10039
-7.93
1000.00,9.34,-0.00,1319.42,93069,63031,0,10089
-13.49
1000.00,9.34,6.60,-1319.42,93180,3295,0,10139
-8.67
1000.00,9.37,-0.00,1253.45,93414,64104,0,10189
-14.06
1000.00,9.37,6.27,-1253.45,93509,3348,0,10241
-9.04
1000.00,9.40,-0.00,1190.78,93745,63519,0,10291
-14.75
1000.00,9.40,5.95,-1190.78,93836,3682,0,10341
-9.16
1000.00,9.43,-0.00,1131.24,94059,63561,0,10391
-15.15
1000.00,9.43,5.66,-1131.24,94156,4198,0,10441
-8.30
1000.00,9.46,-0.00,1074.68,94355,63541,0,10492
-14.09
1000.00,9.46,5.37,-1074.68,94464,3465,0,10543
-7.72
1000.00,9.49,-0.00,1020.95,94636,65189,0,10593
-14.61
1000.00,9.49,5.10,-1020.95,94749,3771,0,10643
-8.91
1000.00,9.52,-0.00,969.90,94905,64934,0,10694
-14.65
1000.00,9.52,4.85,-969.90,95085,62599,0,10744
-8.95
1000.00,9.54,-0.00,921.41,95151,2552,0,10795
-14.66
1000.00,9.54,4.61,-921.41,95335,61615,0,10845
-9.64
1000.00,9.56,-0.00,875.33,95397,533,0,10895
-13.29
1000.00,9.56,4.38,-875.33,95552,63194,0,10946
-8.22
1000.00,9.58,-0.00,831.57,95626,1670,0,10996
-12.88
1000.00,9.58,4.16,-831.57,95760,359,0,11046
-7.75
1000.00,9.61,-0.00,789.99,95846,325,0,11097
-12.69
1000.00,9.61,3.95,-789.99,95982,64590,0,11148
